ID	alpha	beta	delta0
s363	1	1	0.5
s364	3	4.33333333333333	0.5
s365	1	1	0.5
s366	7.44444444444444	7.66666666666667	0.5
s367	5	2	0.5
s368	1	1	0.5
s369	1	1	0.5
s370	1	1	0.5
s371	1	1	0.5
s372	1	1	0.5
s373	1	1	0.5
s374	4.5	5	0.5
s375	4.16666666666667	5.16666666666667	0.5
s376	6.1044776119403	17.2388059701493	0.5
s377	6.85714285714286	4.42857142857143	0.5
s378	9.76264591439689	37.3968871595331	0.5
s379	3	3	0.5
s380	4.33333333333333	5.66666666666667	0.5
s381	1	1	0.5
s382	1	1	0.5
s383	1	1	0.5
s384	4.88888888888889	4.11111111111111	0.5
s385	1	1	0.5
s386	4.42857142857143	4.59183673469388	0.5
s387	1	1	0.5
s388	1	1	0.5
s389	6.66666666666667	10.2222222222222	0.5
s390	2	4	0.5
s391	3	9	0.5
s392	1	1	0.5
s393	1	1	0.5
s394	1	1	0.5
s395	1	1	0.5
s396	1	1	0.5
s397	1	1	0.5
s398	1	1	0.5
s399	1	1	0.5
s400	3	2	0.5
s401	1	1	0.5
s402	1	1	0.5
s403	1	1	0.5
s404	1	1	0.5
s405	1	1	0.5
s406	1	1	0.5
s407	1	1	0.5
s408	3.33333333333333	27.6666666666667	0.5
s409	1	1	0.5
s410	1	1	0.5
s411	1	1	0.5
s412	1	1	0.5
s413	1	1	0.5
s414	1	1	0.5
s415	1	1	0.5
s416	1	1	0.5
s417	1	1	0.5
